"species","year","tr0obs","col.ind.prev.year","growth.rate.dif"
"2",1976,2,NA,NA
"2",1977,1.79,2,-0.21
"2",1978,2.15,1.79,0.36
"2",1979,1.99,2.15,-0.16
"2",1980,2.05,1.99,0.0599999999999998
"2",1981,1.78,2.05,-0.27
"2",1982,2.54,1.78,0.76
"2",1983,1.93,2.54,-0.61
"2",1984,2.46,1.93,0.53
"2",1985,2.03,2.46,-0.43
"2",1986,1.7,2.03,-0.33
"2",1987,2.24,1.7,0.54
"2",1988,1.92,2.24,-0.32
"2",1989,2.05,1.92,0.13
"2",1990,2.03,2.05,-0.02
"2",1991,2.25,2.03,0.22
"2",1992,2.33,2.25,0.0800000000000001
"2",1993,1.74,2.33,-0.59
"2",1994,1.83,1.74,0.0900000000000001
"2",1995,2.1,1.83,0.27
"2",1996,2.13,2.1,0.0299999999999998
"2",1997,2.43,2.13,0.3
"2",1998,1.82,2.43,-0.61
"2",1999,1.62,1.82,-0.2
"2",2000,1.65,1.62,0.0299999999999998
"2",2001,1.81,1.65,0.16
"2",2002,1.89,1.81,0.0799999999999998
"2",2003,2.21,1.89,0.32
"2",2004,1.98,2.21,-0.23
"2",2005,1.58,1.98,-0.4
"2",2006,1.46,1.58,-0.12
"2",2007,1.47,1.46,0.01
"2",2008,1.25,1.47,-0.22
"2",2009,1.6,1.25,0.35
"2",2010,1.62,1.6,0.02
"2",2011,1.53,1.62,-0.0900000000000001
"2",2012,1.3,1.53,-0.23
"2",2013,1.84,1.3,0.54
"2",2014,2,1.84,0.16
"4",1976,2,NA,NA
"4",1977,1.87,2,-0.13
"4",1978,2.01,1.87,0.14
"4",1979,1.99,2.01,-0.0199999999999998
"4",1980,2.05,1.99,0.0599999999999998
"4",1981,2.01,2.05,-0.04
"4",1982,1.89,2.01,-0.12
"4",1983,1.98,1.89,0.0900000000000001
"4",1984,2.09,1.98,0.11
"4",1985,2.08,2.09,-0.00999999999999979
"4",1986,1.9,2.08,-0.18
"4",1987,2.1,1.9,0.2
"4",1988,1.94,2.1,-0.16
"4",1989,2.01,1.94,0.0699999999999998
"4",1990,2.25,2.01,0.24
"4",1991,2.18,2.25,-0.0699999999999998
"4",1992,2.09,2.18,-0.0900000000000003
"4",1993,2.14,2.09,0.0500000000000003
"4",1994,2,2.14,-0.14
"4",1995,2.02,2,0.02
"4",1996,2,2.02,-0.02
"4",1997,2.1,2,0.1
"4",1998,1.96,2.1,-0.14
"4",1999,1.98,1.96,0.02
"4",2000,2.03,1.98,0.0499999999999998
"4",2001,1.91,2.03,-0.12
"4",2002,2.08,1.91,0.17
"4",2003,1.95,2.08,-0.13
"4",2004,2.03,1.95,0.0799999999999998
"4",2005,2.02,2.03,-0.00999999999999979
"4",2006,1.95,2.02,-0.0700000000000001
"4",2007,1.94,1.95,-0.01
"4",2008,1.81,1.94,-0.13
"4",2009,2.04,1.81,0.23
"4",2010,2.12,2.04,0.0800000000000001
"4",2011,2.22,2.12,0.1
"4",2012,2.07,2.22,-0.15
"4",2013,1.99,2.07,-0.0799999999999998
"4",2014,2.16,1.99,0.17
"8",1976,2,NA,NA
"8",1977,1.66,2,-0.34
"8",1978,1.75,1.66,0.0900000000000001
"8",1979,2.1,1.75,0.35
"8",1980,2.3,2.1,0.2
"8",1981,2.42,2.3,0.12
"8",1982,2.61,2.42,0.19
"8",1983,2.59,2.61,-0.02
"8",1984,2.67,2.59,0.0800000000000001
"8",1985,2.6,2.67,-0.0699999999999998
"8",1986,2.7,2.6,0.1
"8",1987,2.73,2.7,0.0299999999999998
"8",1988,2.61,2.73,-0.12
"8",1989,2.58,2.61,-0.0299999999999998
"8",1990,2.54,2.58,-0.04
"8",1991,2.72,2.54,0.18
"8",1992,2.76,2.72,0.0399999999999996
"8",1993,2.67,2.76,-0.0899999999999999
"8",1994,2.71,2.67,0.04
"8",1995,2.71,2.71,0
"8",1996,2.51,2.71,-0.2
"8",1997,2.66,2.51,0.15
"8",1998,2.64,2.66,-0.02
"8",1999,2.75,2.64,0.11
"8",2000,2.79,2.75,0.04
"8",2001,2.67,2.79,-0.12
"8",2002,2.71,2.67,0.04
"8",2003,2.81,2.71,0.1
"8",2004,2.67,2.81,-0.14
"8",2005,2.68,2.67,0.0100000000000002
"8",2006,2.69,2.68,0.00999999999999979
"8",2007,2.62,2.69,-0.0699999999999998
"8",2008,2.75,2.62,0.13
"8",2009,2.87,2.75,0.12
"8",2010,2.83,2.87,-0.04
"8",2011,2.77,2.83,-0.0600000000000001
"8",2012,2.67,2.77,-0.1
"8",2013,2.85,2.67,0.18
"8",2014,2.97,2.85,0.12
"12",1976,2,NA,NA
"12",1977,1.42,2,-0.58
"12",1978,1.48,1.42,0.0600000000000001
"12",1979,1.31,1.48,-0.17
"12",1980,1.23,1.31,-0.0800000000000001
"12",1981,0.92,1.23,-0.31
"12",1982,1.12,0.92,0.2
"12",1983,1.02,1.12,-0.1
"12",1984,1.41,1.02,0.39
"12",1985,1.26,1.41,-0.15
"12",1986,1.31,1.26,0.05
"12",1987,1.38,1.31,0.0699999999999998
"12",1988,1.14,1.38,-0.24
"12",1989,1.06,1.14,-0.0799999999999998
"12",1990,1.13,1.06,0.0699999999999998
"12",1991,1.28,1.13,0.15
"12",1992,1.28,1.28,0
"12",1993,1.15,1.28,-0.13
"12",1994,1.25,1.15,0.1
"12",1995,1.52,1.25,0.27
"12",1996,1.58,1.52,0.0600000000000001
"12",1997,1.74,1.58,0.16
"12",1998,1.48,1.74,-0.26
"12",1999,1.43,1.48,-0.05
"12",2000,1.31,1.43,-0.12
"12",2001,1.35,1.31,0.04
"12",2002,1.32,1.35,-0.03
"12",2003,1.59,1.32,0.27
"12",2004,1.64,1.59,0.0499999999999998
"12",2005,1.62,1.64,-0.0199999999999998
"12",2006,1.77,1.62,0.15
"12",2007,1.64,1.77,-0.13
"12",2008,1.49,1.64,-0.15
"12",2009,1.62,1.49,0.13
"12",2010,1.7,1.62,0.0799999999999998
"12",2011,1.79,1.7,0.0900000000000001
"12",2012,1.58,1.79,-0.21
"12",2013,1.83,1.58,0.25
"12",2014,1.63,1.83,-0.2
"13",1978,2,NA,NA
"13",1979,2.03,2,0.0299999999999998
"13",1980,1.95,2.03,-0.0799999999999998
"13",1981,1.54,1.95,-0.41
"13",1982,2,1.54,0.46
"13",1983,1.88,2,-0.12
"13",1984,2.14,1.88,0.26
"13",1985,1.87,2.14,-0.27
"13",1986,2.14,1.87,0.27
"13",1987,2.49,2.14,0.35
"13",1988,2.35,2.49,-0.14
"13",1989,2.29,2.35,-0.0600000000000001
"13",1990,2.15,2.29,-0.14
"13",1991,1.86,2.15,-0.29
"13",1992,2.66,1.86,0.8
"13",1993,2.31,2.66,-0.35
"13",1994,2.53,2.31,0.22
"13",1995,2.81,2.53,0.28
"13",1996,2.41,2.81,-0.4
"13",1997,2.41,2.41,0
"13",1998,1.94,2.41,-0.47
"13",1999,2.02,1.94,0.0800000000000001
"13",2000,1.83,2.02,-0.19
"13",2001,2.15,1.83,0.32
"13",2002,1.71,2.15,-0.44
"13",2003,1.99,1.71,0.28
"13",2004,2.25,1.99,0.26
"13",2005,1.79,2.25,-0.46
"13",2006,1.82,1.79,0.03
"13",2007,1.77,1.82,-0.05
"13",2008,1.56,1.77,-0.21
"13",2009,1.68,1.56,0.12
"13",2010,1.59,1.68,-0.0899999999999999
"13",2011,1.6,1.59,0.01
"13",2012,1.33,1.6,-0.27
"13",2013,1.69,1.33,0.36
"13",2014,2.14,1.69,0.45
"14",1976,2,NA,NA
"14",1977,2.03,2,0.0299999999999998
"14",1978,1.22,2.03,-0.81
"14",1979,1.44,1.22,0.22
"14",1980,1.3,1.44,-0.14
"14",1981,1.12,1.3,-0.18
"14",1982,1.3,1.12,0.18
"14",1983,0.94,1.3,-0.36
"14",1984,1.21,0.94,0.27
"14",1985,1.32,1.21,0.11
"14",1986,1.27,1.32,-0.05
"14",1987,1.54,1.27,0.27
"14",1988,1.07,1.54,-0.47
"14",1989,1.3,1.07,0.23
"14",1990,1.48,1.3,0.18
"14",1991,1.41,1.48,-0.0700000000000001
"14",1992,1.3,1.41,-0.11
"14",1993,1.32,1.3,0.02
"14",1994,1.16,1.32,-0.16
"14",1995,1.26,1.16,0.1
"14",1996,1.26,1.26,0
"14",1997,1.47,1.26,0.21
"14",1998,1.23,1.47,-0.24
"14",1999,0.88,1.23,-0.35
"14",2000,0.94,0.88,0.0599999999999999
"14",2001,1.01,0.94,0.0700000000000001
"14",2002,1.09,1.01,0.0800000000000001
"14",2003,1.15,1.09,0.0599999999999998
"14",2004,1.11,1.15,-0.0399999999999998
"14",2005,1.11,1.11,0
"14",2006,0.91,1.11,-0.2
"14",2007,1.07,0.91,0.16
"14",2008,0.73,1.07,-0.34
"14",2009,0.88,0.73,0.15
"14",2010,1.01,0.88,0.13
"14",2011,1.33,1.01,0.32
"14",2012,1.13,1.33,-0.2
"14",2013,1.01,1.13,-0.12
"14",2014,1.09,1.01,0.0800000000000001
"17",1976,2,NA,NA
"17",1977,1.35,2,-0.65
"17",1978,1.64,1.35,0.29
"17",1979,1.69,1.64,0.05
"17",1980,1.56,1.69,-0.13
"17",1981,1.5,1.56,-0.0600000000000001
"17",1982,1.68,1.5,0.18
"17",1983,1.56,1.68,-0.12
"17",1984,1.62,1.56,0.0600000000000001
"17",1985,1.54,1.62,-0.0800000000000001
"17",1986,1.66,1.54,0.12
"17",1987,1.78,1.66,0.12
"17",1988,1.56,1.78,-0.22
"17",1989,1.67,1.56,0.11
"17",1990,1.61,1.67,-0.0599999999999998
"17",1991,1.69,1.61,0.0799999999999998
"17",1992,1.87,1.69,0.18
"17",1993,1.63,1.87,-0.24
"17",1994,1.7,1.63,0.0700000000000001
"17",1995,1.86,1.7,0.16
"17",1996,1.95,1.86,0.0899999999999999
"17",1997,1.92,1.95,-0.03
"17",1998,1.5,1.92,-0.42
"17",1999,1.59,1.5,0.0900000000000001
"17",2000,1.54,1.59,-0.05
"17",2001,1.61,1.54,0.0700000000000001
"17",2002,1.67,1.61,0.0599999999999998
"17",2003,1.85,1.67,0.18
"17",2004,1.9,1.85,0.0499999999999998
"17",2005,1.9,1.9,0
"17",2006,2.18,1.9,0.28
"17",2007,1.81,2.18,-0.37
