species,year,occupancy ,Apple,Field Bean,Oilseed Rape
Andrena bicolor,1985,0.589323184,0,0,1
Andrena bicolor,1986,0.575785961,0,0,1
Andrena bicolor,1987,0.570076437,0,0,1
Andrena bicolor,1988,0.577378115,0,0,1
Andrena bicolor,1989,0.586859715,0,0,1
Andrena bicolor,1990,0.593402858,0,0,1
Andrena bicolor,1991,0.592013313,0,0,1
Andrena bicolor,1992,0.582401845,0,0,1
Andrena bicolor,1993,0.562337781,0,0,1
Andrena bicolor,1994,0.551151264,0,0,1
Andrena bicolor,1995,0.553894322,0,0,1
Andrena bicolor,1996,0.541929011,0,0,1
Andrena bicolor,1997,0.509267565,0,0,1
Andrena bicolor,1998,0.47846239,0,0,1
Andrena bicolor,1999,0.454392676,0,0,1
Andrena bicolor,2000,0.427230528,0,0,1
Andrena bicolor,2001,0.411714883,0,0,1
Andrena bicolor,2002,0.391968534,0,0,1
Andrena bicolor,2003,0.396907692,0,0,1
Andrena bicolor,2004,0.417122082,0,0,1
Andrena bicolor,2005,0.440949554,0,0,1
Andrena bicolor,2006,0.45157055,0,0,1
Andrena bicolor,2007,0.451217723,0,0,1
Andrena bicolor,2008,0.468956283,0,0,1
Andrena bicolor,2009,0.442519173,0,0,1
Andrena bicolor,2010,0.395266914,0,0,1
Andrena bicolor,2011,0.387194274,0,0,1
Andrena bicolor,2012,0.393823479,0,0,1
Andrena bicolor,2013,0.373734602,0,0,1
Andrena bicolor,2014,0.367188238,0,0,1
Andrena bicolor,2015,0.386168046,0,0,1
Andrena chrysosceles,1985,0.381878783,1,0,1
Andrena chrysosceles,1986,0.41007966,1,0,1
Andrena chrysosceles,1987,0.405183894,1,0,1
Andrena chrysosceles,1988,0.375449057,1,0,1
Andrena chrysosceles,1989,0.364396746,1,0,1
Andrena chrysosceles,1990,0.356973488,1,0,1
Andrena chrysosceles,1991,0.376560172,1,0,1
Andrena chrysosceles,1992,0.402002499,1,0,1
Andrena chrysosceles,1993,0.441223266,1,0,1
Andrena chrysosceles,1994,0.438998727,1,0,1
Andrena chrysosceles,1995,0.42928314,1,0,1
Andrena chrysosceles,1996,0.39592397,1,0,1
Andrena chrysosceles,1997,0.397303779,1,0,1
Andrena chrysosceles,1998,0.388155824,1,0,1
Andrena chrysosceles,1999,0.382272179,1,0,1
Andrena chrysosceles,2000,0.332953159,1,0,1
Andrena chrysosceles,2001,0.345374218,1,0,1
Andrena chrysosceles,2002,0.338828673,1,0,1
Andrena chrysosceles,2003,0.33548821,1,0,1
Andrena chrysosceles,2004,0.377799631,1,0,1
Andrena chrysosceles,2005,0.407932375,1,0,1
Andrena chrysosceles,2006,0.364940642,1,0,1
Andrena chrysosceles,2007,0.327068016,1,0,1
Andrena chrysosceles,2008,0.33858076,1,0,1
Andrena chrysosceles,2009,0.322243575,1,0,1
Andrena chrysosceles,2010,0.329179494,1,0,1
Andrena chrysosceles,2011,0.309266492,1,0,1
Andrena chrysosceles,2012,0.317946066,1,0,1
Andrena chrysosceles,2013,0.251556098,1,0,1
Andrena chrysosceles,2014,0.266775421,1,0,1
Andrena chrysosceles,2015,0.271109707,1,0,1
Andrena cineraria,1985,0.083355373,1,0,1
Andrena cineraria,1986,0.079910161,1,0,1
Andrena cineraria,1987,0.072706989,1,0,1
Andrena cineraria,1988,0.077312237,1,0,1
Andrena cineraria,1989,0.082107014,1,0,1
Andrena cineraria,1990,0.083246592,1,0,1
Andrena cineraria,1991,0.099543854,1,0,1
Andrena cineraria,1992,0.100535284,1,0,1
Andrena cineraria,1993,0.105971254,1,0,1
Andrena cineraria,1994,0.110238221,1,0,1
Andrena cineraria,1995,0.112760356,1,0,1
Andrena cineraria,1996,0.100267947,1,0,1
Andrena cineraria,1997,0.105972992,1,0,1
Andrena cineraria,1998,0.119841691,1,0,1
Andrena cineraria,1999,0.135079915,1,0,1
Andrena cineraria,2000,0.163674461,1,0,1
Andrena cineraria,2001,0.14801364,1,0,1
Andrena cineraria,2002,0.151556108,1,0,1
Andrena cineraria,2003,0.139213007,1,0,1
Andrena cineraria,2004,0.158907139,1,0,1
Andrena cineraria,2005,0.183205972,1,0,1
Andrena cineraria,2006,0.178921693,1,0,1
Andrena cineraria,2007,0.217626746,1,0,1
Andrena cineraria,2008,0.231478845,1,0,1
Andrena cineraria,2009,0.188676665,1,0,1
Andrena cineraria,2010,0.215955501,1,0,1
Andrena cineraria,2011,0.312974893,1,0,1
Andrena cineraria,2012,0.337265306,1,0,1
Andrena cineraria,2013,0.318749798,1,0,1
Andrena cineraria,2014,0.323500719,1,0,1
Andrena cineraria,2015,0.323723381,1,0,1
Andrena dorsata,1985,0.185137393,1,0,1
Andrena dorsata,1986,0.198062069,1,0,1
Andrena dorsata,1987,0.197490189,1,0,1
Andrena dorsata,1988,0.187289745,1,0,1
Andrena dorsata,1989,0.17594906,1,0,1
Andrena dorsata,1990,0.194263971,1,0,1
Andrena dorsata,1991,0.254935209,1,0,1
Andrena dorsata,1992,0.329600791,1,0,1
Andrena dorsata,1993,0.336754519,1,0,1
Andrena dorsata,1994,0.350012078,1,0,1
Andrena dorsata,1995,0.393823479,1,0,1
Andrena dorsata,1996,0.442103356,1,0,1
Andrena dorsata,1997,0.381151933,1,0,1
Andrena dorsata,1998,0.397407079,1,0,1
Andrena dorsata,1999,0.432338392,1,0,1
Andrena dorsata,2000,0.483400579,1,0,1
Andrena dorsata,2001,0.467561754,1,0,1
Andrena dorsata,2002,0.456025994,1,0,1
Andrena dorsata,2003,0.464361906,1,0,1
Andrena dorsata,2004,0.526525856,1,0,1
Andrena dorsata,2005,0.523907557,1,0,1
Andrena dorsata,2006,0.514530234,1,0,1
Andrena dorsata,2007,0.488367787,1,0,1
Andrena dorsata,2008,0.479608898,1,0,1
Andrena dorsata,2009,0.458623454,1,0,1
Andrena dorsata,2010,0.467816308,1,0,1
Andrena dorsata,2011,0.487614551,1,0,1
Andrena dorsata,2012,0.468543448,1,0,1
Andrena dorsata,2013,0.395687615,1,0,1
Andrena dorsata,2014,0.402766035,1,0,1
Andrena dorsata,2015,0.42737664,1,0,1
Andrena flavipes,1985,0.300269989,1,0,1
Andrena flavipes,1986,0.295606455,1,0,1
Andrena flavipes,1987,0.258147725,1,0,1
Andrena flavipes,1988,0.239223876,1,0,1
Andrena flavipes,1989,0.249633263,1,0,1
Andrena flavipes,1990,0.28151021,1,0,1
Andrena flavipes,1991,0.318514916,1,0,1
Andrena flavipes,1992,0.310152974,1,0,1
Andrena flavipes,1993,0.301505764,1,0,1
Andrena flavipes,1994,0.322159665,1,0,1
Andrena flavipes,1995,0.352626336,1,0,1
Andrena flavipes,1996,0.406015824,1,0,1
Andrena flavipes,1997,0.382158563,1,0,1
Andrena flavipes,1998,0.400091818,1,0,1
Andrena flavipes,1999,0.397505858,1,0,1
Andrena flavipes,2000,0.418922526,1,0,1
Andrena flavipes,2001,0.455292976,1,0,1
Andrena flavipes,2002,0.429029034,1,0,1
Andrena flavipes,2003,0.445772199,1,0,1
Andrena flavipes,2004,0.451422153,1,0,1
Andrena flavipes,2005,0.466038773,1,0,1
Andrena flavipes,2006,0.476863645,1,0,1
Andrena flavipes,2007,0.469296999,1,0,1
Andrena flavipes,2008,0.420605379,1,0,1
Andrena flavipes,2009,0.378563903,1,0,1
Andrena flavipes,2010,0.382347835,1,0,1
Andrena flavipes,2011,0.367315449,1,0,1
Andrena flavipes,2012,0.341618477,1,0,1
Andrena flavipes,2013,0.319495425,1,0,1
Andrena flavipes,2014,0.321149235,1,0,1
Andrena flavipes,2015,0.38585659,1,0,1
Andrena fulva,1985,0.385696635,1,0,1
Andrena fulva,1986,0.421560661,1,0,1
Andrena fulva,1987,0.448762583,1,0,1
Andrena fulva,1988,0.463650488,1,0,1
Andrena fulva,1989,0.447488715,1,0,1
Andrena fulva,1990,0.427799592,1,0,1
Andrena fulva,1991,0.393142314,1,0,1
Andrena fulva,1992,0.382254909,1,0,1
Andrena fulva,1993,0.391348527,1,0,1
Andrena fulva,1994,0.433917282,1,0,1
Andrena fulva,1995,0.435957302,1,0,1
Andrena fulva,1996,0.377797975,1,0,1
Andrena fulva,1997,0.367789162,1,0,1
Andrena fulva,1998,0.335243394,1,0,1
Andrena fulva,1999,0.323353117,1,0,1
Andrena fulva,2000,0.331436338,1,0,1
Andrena fulva,2001,0.353251509,1,0,1
Andrena fulva,2002,0.342410675,1,0,1
Andrena fulva,2003,0.351928902,1,0,1
Andrena fulva,2004,0.349395507,1,0,1
Andrena fulva,2005,0.326195377,1,0,1
Andrena fulva,2006,0.315805868,1,0,1
Andrena fulva,2007,0.299401713,1,0,1
Andrena fulva,2008,0.310235866,1,0,1
Andrena fulva,2009,0.317371918,1,0,1
Andrena fulva,2010,0.329987936,1,0,1
Andrena fulva,2011,0.340830128,1,0,1
Andrena fulva,2012,0.341812343,1,0,1
Andrena fulva,2013,0.382142137,1,0,1
Andrena fulva,2014,0.42344547,1,0,1
Andrena fulva,2015,0.453036935,1,0,1
Andrena haemorrhoa,1985,0.732010835,1,0,1
Andrena haemorrhoa,1986,0.737543879,1,0,1
Andrena haemorrhoa,1987,0.749921985,1,0,1
Andrena haemorrhoa,1988,0.761523482,1,0,1
Andrena haemorrhoa,1989,0.76302382,1,0,1
Andrena haemorrhoa,1990,0.765497108,1,0,1
Andrena haemorrhoa,1991,0.760330387,1,0,1
Andrena haemorrhoa,1992,0.751302447,1,0,1
Andrena haemorrhoa,1993,0.741435814,1,0,1
Andrena haemorrhoa,1994,0.731381134,1,0,1
Andrena haemorrhoa,1995,0.728596878,1,0,1
Andrena haemorrhoa,1996,0.732660606,1,0,1
Andrena haemorrhoa,1997,0.727935061,1,0,1
