"","species_removed","mean_total_deficit","sd_total_deficit","n","s.e.","apple"
"1",0,-2.4248737910727,0,100,0,"Apple"
"2",1,-2.4932587915644,0.157866633500482,100,0.0157866633500482,"Apple"
"3",2,-2.53925771639765,0.220262008298702,100,0.0220262008298702,"Apple"
"4",3,-2.63461135725727,0.261238245583161,100,0.0261238245583161,"Apple"
"5",4,-2.70423317165419,0.340092701123263,100,0.0340092701123263,"Apple"
"6",5,-2.7612178579763,0.405440785271066,100,0.0405440785271066,"Apple"
"7",6,-2.79759376157498,0.497315468591784,100,0.0497315468591784,"Apple"
"8",7,-2.90945879217263,0.448991217759196,100,0.0448991217759196,"Apple"
"9",8,-3.04517250283464,0.519075201016499,100,0.0519075201016499,"Apple"
"10",9,-3.12723866913602,0.589064133737018,100,0.0589064133737018,"Apple"
"11",10,-3.25856109287164,0.657717721732136,100,0.0657717721732136,"Apple"
"12",11,-3.56137738328967,0.693568653672066,100,0.0693568653672066,"Apple"
"13",12,-3.71040822531295,0.651780391921816,100,0.0651780391921816,"Apple"
"14",13,-3.90799468411134,0.777098299199604,100,0.0777098299199604,"Apple"
"15",14,-4.26331188860584,0.752196502307966,100,0.0752196502307966,"Apple"
"16",15,-4.85990284712565,0.918828350217949,100,0.0918828350217949,"Apple"
"17",16,-5.63554151336434,0.906539328585637,100,0.0906539328585637,"Apple"
"18",17,-6.96216835577951,0.996266512677506,100,0.0996266512677506,"Apple"
"19",18,-9.90856487515809,1.20585589620946,100,0.120585589620946,"Apple"
