"","species_removed","mean_total_deficit","sd_total_deficit","n","s.e.","oilseed_rape"
"1",0,-2.17930936369764,0,100,0,"oilseed_rape"
"2",1,-2.1892046925572,0.0971192124905283,100,0.00971192124905283,"oilseed_rape"
"3",2,-2.22853201313973,0.135120417084965,100,0.0135120417084965,"oilseed_rape"
"4",3,-2.22711500503109,0.164871303361493,100,0.0164871303361493,"oilseed_rape"
"5",4,-2.27435989793573,0.188256186166443,100,0.0188256186166443,"oilseed_rape"
"6",5,-2.30694642070692,0.222705110059336,100,0.0222705110059336,"oilseed_rape"
"7",6,-2.36546016715931,0.215396716181571,100,0.0215396716181571,"oilseed_rape"
"8",7,-2.38251269588819,0.232965556547357,100,0.0232965556547357,"oilseed_rape"
"9",8,-2.42214569582943,0.268664810236764,100,0.0268664810236764,"oilseed_rape"
"10",9,-2.43007213743577,0.321224682509221,100,0.0321224682509221,"oilseed_rape"
"11",10,-2.49586675637065,0.352241448838576,100,0.0352241448838576,"oilseed_rape"
"12",11,-2.55884377995198,0.346578657183596,100,0.0346578657183596,"oilseed_rape"
"13",12,-2.53541943523178,0.389766609210626,100,0.0389766609210626,"oilseed_rape"
"14",13,-2.67178916731881,0.394059577952328,100,0.0394059577952328,"oilseed_rape"
"15",14,-2.72275573966151,0.402822767371446,100,0.0402822767371446,"oilseed_rape"
"16",15,-2.76739768016706,0.378148356158815,100,0.0378148356158815,"oilseed_rape"
"17",16,-2.85528588887285,0.523373149416337,100,0.0523373149416337,"oilseed_rape"
"18",17,-3.03261316117562,0.509663326263915,100,0.0509663326263915,"oilseed_rape"
"19",18,-3.06849442556436,0.495702809064914,100,0.0495702809064914,"oilseed_rape"
"20",19,-3.20646605883379,0.523281321488743,100,0.0523281321488743,"oilseed_rape"
"21",20,-3.34353547282448,0.61554870263036,100,0.061554870263036,"oilseed_rape"
"22",21,-3.49411360310567,0.640282871576512,100,0.0640282871576512,"oilseed_rape"
"23",22,-3.58236518516393,0.58564785173613,100,0.058564785173613,"oilseed_rape"
"24",23,-3.79147310607278,0.791356132633412,100,0.0791356132633412,"oilseed_rape"
"25",24,-4.26681658384904,0.735015684501687,100,0.0735015684501687,"oilseed_rape"
"26",25,-4.58601181292363,0.731432323486722,100,0.0731432323486722,"oilseed_rape"
"27",26,-5.21478322657502,0.786349092071341,100,0.0786349092071341,"oilseed_rape"
"28",27,-5.90202035350342,0.874439262606524,100,0.0874439262606524,"oilseed_rape"
"29",28,-7.16977873855355,0.945950400460349,100,0.0945950400460349,"oilseed_rape"
"30",29,-10.2704252525503,1.0626384331039,100,0.10626384331039,"oilseed_rape"
